Measure Time,Azimuth,Elevation,Curve
2024-08-30 21:34:56.568536,0,0,"[18  8 23 24 18 21 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 16 11 23 20 29 24 39 34 44 42 44 44 42 43 38 40 40 39 42 42
 39 42 35 36 33 34 31 32 30 30 32 31 32 32 31 32 27 29 23 24 21 22 18 19
 15 16 14 14 12 13 12 12]"
2024-08-30 21:35:21.786742,90,3.0,"[18  7 23 23 18 20 18 18 20 19 22 22 21 22 18 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 19 15 25 23 25 25 30 26 29 30 26 27 31 25 44 37 50 47 49 50
 46 48 42 43 39 41 34 37 27 30 21 23 19 20 16 17 13 14 12 13 10 11  9  9
  8  8  8  8 22 15 27 25]"
2024-08-30 21:35:42.745338,30.0,3.0,"[18  6 23 23 18 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 19 15 24 22 28 26 29 29 28 29 26 27 33 29 38 38 39 38 48 44 50 50
 48 49 45 47 41 43 35 38 30 32 24 25 22 23 21 21 20 21 18 19 17 18 15 16
 13 14 12 12 11 11 10 11]"
2024-08-30 21:36:04.211223,-30.0,3.0,"[22 21 23 23 21 22 23 22 22 22 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 19 17 23 18 39 31 49 45 53 52 54 54 52 53 49 51 48 48 48 48
 43 47 40 41 40 40 41 41 40 41 37 39 34 36 29 33 28 29 27 28 25 26 21 23
 18 19 16 17 14 15 13 13]"
2024-08-30 21:36:24.677978,-90,3.0,"[19 14 22 23 18 20 19 19 21 19 22 22 21 22 17 19 16 17 16 16 15 16 14 15
 13 14 11 12 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 13 11
 26 16 40 34 45 43 44 45 42 43 40 41 35 38 31 32 34 30 41 37 46 44 46 46
 44 45 41 43 37 39 32 34 25 29 23 25 21 22 18 20 16 17 14 15 12 13 10 11
 10 10  9  9  9  9  9  9]"
2024-08-30 21:36:53.956694,30.0,-8.0,"[18  8 22 23 18 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 23 19 28 26 27 28 25 26 23 25 22 23 26 24 26 26 27 26 32 29 35 33 38 36
 43 41 43 43 41 42 35 38 28 31 22 22 20 21 24 20 28 27 27 28 21 26 19 20
 17 18 14 16 12 13 12 12]"
2024-08-30 21:37:14.910338,-30.0,-8.0,"[24 26 23 24 19 21 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 15  9 19 17 19 19 17 18
 20 15 35 26 48 42 56 53 59 59 59 59 56 57 50 53 46 48 42 44 38 40 38 37
 41 41 40 41 36 38 33 35 28 31 27 27 26 26 26 26 25 26 23 24 21 22 20 21
 20 20 20 20 19 19 26 19]"
2024-08-30 21:37:44.186449,90,6.0,"[18 11 22 23 20 21 22 22 22 22 22 22 21 22 19 20 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 22 16 27 26 29 27 34 31 33 34 31 30 41 33 53 48 56 55 53 55
 49 50 47 48 41 44 34 37 29 31 24 25 21 22 18 19 15 16 13 14 12 13 10 11
  9 10  8  8  9  9  9  9]"
2024-08-30 21:38:00.884499,61.12,5.1391,"[18  9 22 23 22 22 24 24 23 24 23 23 22 22 20 21 18 19 17 18 15 16 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 22 15 34 28 40 38 42 42 41 41 38 40 35 36 39 35 48 44 52 51 50 51
 46 47 43 44 39 41 32 36 26 29 23 24 19 21 16 18 14 15 12 13 10 11  9 10
  9  9  9  9 13  9 15 14]"
2024-08-30 21:38:17.280374,30.0,6.0,"[21 19 22 23 21 21 22 22 22 22 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 19 14 31 25 36 34 38 38 37 37 36 36 41 38 47 45 47 48 46 46 45 46
 43 44 41 42 36 39 31 33 25 29 24 25 23 24 21 22 19 20 18 19 16 17 14 15
 12 13 11 12 10 11  9 10]"
2024-08-30 21:38:33.473459,1.12,5.1391,"[20 16 22 23 18 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 18 13 28 23 35 32 38 37 39 39 39 39 44 42 49 47 49 50 52 51 52 52
 49 51 45 47 42 43 38 40 35 37 33 34 28 28 25 26 23 24 21 22 20 21 18 19
 15 16 12 14 10 11  9 10]"
2024-08-30 21:38:49.870866,-30.0,6.0,"[18  8 22 23 23 23 25 25 22 24 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 20 14 27 24 28 28 30 28 33 32 34 33 39 37 43 41 51 46 52 52 51 52
 48 49 43 46 38 41 33 35 31 32 26 26 24 25 21 22 18 20 16 17 14 15 12 13
 11 11 12 12 12 12 12 12]"
2024-08-30 21:39:06.069423,-58.88,5.1391,"[20 18 22 23 23 22 24 24 23 23 23 23 22 23 20 21 18 19 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 18  9 28 22 37 33 38 38 36 38 34 35 41 37 54 49 56 56 54 55 55 54 53 54
 50 52 46 48 43 45 39 41 33 36 28 29 27 28 26 27 25 25 22 24 19 21 16 17
 13 14 11 12 10 11  9 10]"
2024-08-30 21:39:22.472650,-90,6.0,"[19 15 22 23 20 21 23 22 22 22 22 22 22 22 19 20 17 19 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 15 10 16 16 15 15 16 15 24 20 24 24
 34 25 50 42 58 54 58 58 55 58 50 53 46 47 47 46 49 48 50 50 51 51 50 51
 48 49 45 47 42 44 37 39 32 35 29 31 27 28 25 26 22 23 18 20 15 17 13 14
 11 12 10 10  9 10  9  9]"
