Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-01 23:56:52.589943,"(0, 0)","(1151, 2828)","[23  9 25 25 24 24 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 18 12 25 20 34 30 37 36 36 37 34 35 33 33 32 32 33 33
 31 32 27 29 26 26 29 28 29 30 29 29 27 28 20 25 18 20 16 17 14 15 12 13
 10 11 10 10  9 10  9  9]"
2024-09-01 23:57:17.321519,"(90, 1.5)","(1985, 2816)","[23  8 25 25 24 24 23 24 22 21 22 22 21 22 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 18 16 21 20 20 21 20 19 21 21 20 21 26 19 41 34 47 45 47 47
 45 46 43 44 39 41 34 37 28 31 21 22 19 20 17 18 14 15 12 13 11 12 10 11
  9 10  9  9  9  9  9  9]"
2024-09-01 23:57:37.781932,"(30.0, 1.5)","(1441, 2815)","[23  8 25 25 24 24 24 24 23 23 23 24 22 23 19 21 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 18 15 23 22 25 24 29 27 35 32 37 37 37 37 36 37 34 35 31 33
 28 30 24 26 19 23 18 19 17 18 16 17 15 16 14 14 13 13 12 12 12 12 11 12
 11 11 10 10  9 10  9  9]"
2024-09-01 23:57:58.256863,"(-30.0, 1.5)","(820, 2816)","[23  7 24 25 24 24 24 24 23 23 23 23 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 22 18 25 24 25 25 26 24 35 29 43 40 45 45 44 45 42 43 41 41 39 40
 37 38 37 37 40 38 39 39 37 38 31 34 26 26 25 26 23 24 20 21 17 18 15 16
 13 14 12 12 10 11  9 10]"
2024-09-01 23:58:18.722324,"(-90, 1.5)","(2, 2815)","[22  7 24 25 24 24 23 24 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 24  9 37 32 41 40 39 41 34 37 31 32 28 29 26 27 30 25 43 35 47 46 46 47
 43 45 38 41 32 35 24 29 22 23 19 21 17 18 15 16 12 13 11 12 10 11  9 10
  7  8  8  7  9  9  9  9]"
2024-09-01 23:58:47.520362,"(30.0, -6.5)","(1439, 2903)","[22  7 24 24 24 24 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 18 13 23 21 23 23 30 23 40 36 41 41 41 41 41 40 41 41 43 42 44 44
 44 44 41 43 36 38 31 34 24 29 24 24 23 24 22 23 22 22 22 22 22 22 22 22
 21 21 21 21 19 20 16 17]"
2024-09-01 23:59:07.988542,"(-30.0, -6.5)","(819, 2902)","[22 11 24 24 24 24 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 18 11
 22 21 23 23 23 23 21 22 21 20 27 24 30 29 28 29 26 26 25 26 29 27 37 34
 39 39 37 38 32 34 29 31 27 28 23 25 19 20 17 18 14 15 13 14 11 12 10 10
  9  9  9  9  9  9  9  9]"
2024-09-01 23:59:36.777413,"(90, 3.0)","(1985, 3.0)","[22  6 24 24 24 24 25 25 22 24 22 22 22 22 20 21 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 13  9 14 14 11 11 10 11
  9  9  9  9 16 11 24 21 24 24 22 23 20 21 20 20 25 19 39 32 44 42 43 44
 40 42 37 39 33 36 28 30 21 26 19 20 17 18 15 16 14 14 12 13 11 12  9 10
  7  8  8  7  9  9  9  9]"
2024-09-01 23:59:53.491646,"(61.12, 2.5696)","(1712, 2804)","[22  4 24 24 24 24 25 25 23 25 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 13 24 19 33 29 36 36 36 36 32 34 28 29 31 27 37 35 38 38 37 38
 35 36 33 34 30 32 26 28 21 24 19 20 18 19 16 17 15 15 14 14 12 13 11 11
 10 11  9 10  9  9  9  9]"
2024-09-02 00:00:09.896632,"(30.0, 3.0)","(1441, 2798)","[22  9 24 24 24 24 25 25 22 24 22 22 22 22 19 21 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 20 16 29 25 33 32 33 34 30 32 30 30 35 32 38 37 37 37 34 36 30 32
 28 29 24 26 20 20 19 20 18 19 17 17 15 16 14 15 13 13 12 12 11 11 10 11
  9 10  9  9  9  9  9  9]"
