Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-02 19:34:19.143355,"(0, 0)","(1189, 2879)","[16 10 17 18 14 16 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 20 15 35 26 46 41 48 48 46 48 41 44 40 40 40 40
 42 42 41 41 36 38 34 35 34 33 34 34 33 34 29 31 23 26 21 22 19 20 17 17
 16 16 15 16 15 15 15 15]"
2024-09-02 19:34:43.846040,"(90, 3.0)","(2001, 5600)","[16  9 17 18 14 16 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 18 17 25 18 37 32 42 40 45 44
 45 46 44 45 42 43 38 41 32 36 26 29 20 20 17 18 14 15 12 13 11 11 10 10
  9  9  9  9 14  9 19 17]"
2024-09-02 19:35:04.799760,"(30.0, 3.0)","(1448, 2850)","[16  5 17 18 14 16 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 16 15 28 22 32 30 31 32 29 31 32 30 40 36 45 43
 46 46 44 45 40 42 34 37 29 32 25 27 21 22 19 20 16 18 14 15 12 13 11 11
  9 10  9  9 13  9 17 16]"
2024-09-02 19:35:25.249254,"(-30.0, 3.0)","(831, 2846)","[16  5 17 18 14 16 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 17  9 26 21 29 28 29 29 28 28 41 32 49 46 49 50 48 49 45 47 44 44 43 43
 44 43 44 44 41 43 34 37 33 34 30 32 25 26 22 24 20 21 17 18 15 16 13 14
 12 12 11 11 10 10 10 10]"
2024-09-02 19:35:45.700889,"(-90, 3.0)","(17, 2848)","[16 12 17 18 15 16 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 22 10 34 29 38 36 38 38
 37 37 35 36 32 34 28 30 25 27 22 24 18 18 16 17 14 15 12 13 10 11  9  9
  8  8  8  8  9  9  9  9]"
2024-09-02 19:36:14.474649,"(30.0, -8.0)","(1447, 2967)","[16  9 17 18 14 16 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 13 11 19 17
 19 19 21 19 27 24 28 28 27 27 30 27 38 34 40 40 39 40 42 39 45 44 44 45
 43 44 43 43 41 42 37 39 31 34 26 26 25 25 23 24 20 22 17 19 15 16 13 14
 13 13 12 12 11 12 10 11]"
2024-09-02 19:36:34.923190,"(-30.0, -8.0)","(830, 2967)","[16 13 18 19 15 16 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 13 11 19 17
 19 19 19 19 21 20 23 22 26 25 27 27 35 30 43 40 45 45 44 45 41 43 36 38
 35 35 35 35 29 32 22 28 27 23 28 28 23 23 21 22 18 20 16 17 14 15 12 13
 11 12 10 11  9 10  9  9]"
2024-09-02 19:37:03.684962,"(90, 6.0)","(2001, 5600)","[16  7 17 18 22 19 26 25 25 26 23 24 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 16 13 23 18 35 29 43 39 46 45 46 46
 44 45 42 43 38 40 32 35 27 30 21 22 19 20 17 18 16 16 15 15 14 14 13 13
 12 12 11 12 11 11 10 10]"
2024-09-02 19:37:20.368747,"(61.12, 5.1391)","(1721, 2824)","[16 10 17 18 19 18 22 22 22 22 22 22 21 22 19 20 18 18 17 17 16 16 15 15
 13 14 11 12 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 16 13 21 18 28 25 29 29 27 27 38 34
 43 42 43 44 40 42 35 38 29 32 25 27 20 20 18 19 16 17 14 15 13 14 12 12
 10 11  9 10  9  9  9  9]"
2024-09-02 19:37:36.760287,"(30.0, 6.0)","(1448, 2815)","[16  8 17 18 23 20 26 25 25 26 23 24 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 20 18 28 24 33 31 36 35 38 37 40 39 45 43
 48 48 48 48 44 46 38 41 34 36 30 32 24 28 22 23 19 21 17 18 15 16 13 14
 12 13 11 11 10 10  9 10]"
