Measure Time,Commanded trajectory,Real trajectory,Curve
0,"(0.0, 0.0)","(0, 0)","[17  9 20 21 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 22 15 38 30 47 43 48 48 46 48 42 44 40 41 40 40
 39 40 38 39 31 34 32 31 34 34 35 35 33 34 25 31 23 24 21 22 18 20 16 17
 15 15 14 15 14 14 13 13]"
1,"(90.0, 3.0)","(1024, 34)","[17 10 20 21 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 24 10 37 32 41 40 44 43
 45 46 45 45 43 44 39 41 32 36 26 29 20 21 18 19 17 17 15 16 14 15 12 13
 10 11  9  9  9  9 14  9]"
2,"(30.0, 3.0)","(341, 34)","[17 12 20 20 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 16 15 26 22 28 27 26 27 25 26 32 27 43 38 48 46
 50 50 48 49 44 46 37 40 30 33 25 27 21 21 18 19 15 16 13 14 11 12  9 10
  8  8  8  8  9  9  9  9]"
3,"(-30.0, 3.0)","(3754, 34)","[17  8 20 20 16 18 18 18 20 19 22 22 21 22 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 25 21 29 28 28 29 27 28 37 29 46 43 48 48 47 47 46 46 45 45 42 44
 41 40 42 42 39 41 35 36 32 34 28 30 23 25 21 22 18 19 17 17 15 16 13 14
 11 12 10 10  9 10  9  9]"
4,"(-90.0, 3.0)","(3072, 34)","[17 11 20 20 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 14
 12 13 11 12 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 14 11 26 15 39 34 43 42 40 42
 36 37 34 35 30 32 28 29 26 27 23 24 17 18 15 16 13 14 12 12 10 11  9 10
  8  8  8  8  9  9  9  9]"
5,"(30.0, -8.0)","(341, 4004)","[17  8 20 20 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 15 11 18 16
 18 19 19 18 25 22 25 25 26 24 32 28 38 35 41 40 41 41 40 40 40 40 40 40
 41 40 42 42 41 42 36 39 29 32 24 24 24 24 23 24 20 21 18 19 17 17 17 17
 17 17 17 17 15 16 13 14]"
6,"(-30.0, -8.0)","(3754, 4004)","[17  8 19 20 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 16 11 19 18
 18 19 17 18 20 19 23 22 25 24 26 26 26 26 27 27 26 26 26 26 26 25 32 29
 36 36 35 36 33 34 32 33 29 31 28 29 27 28 21 26 20 21 17 18 15 16 13 14
 12 13 11 12 11 11 10 10]"
7,"(90.0, 6.0)","(1024, 68)","[17  7 19 20 22 21 24 24 23 23 25 23 24 24 20 22 18 18 17 17 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 17 13 26 22 35 31 44 39 48 46 48 48
 46 47 43 45 37 40 32 35 27 29 21 22 19 20 16 17 14 15 13 13 12 12 10 11
  9 10  8  8  9  9  9  9]"
8,"(61.12, 5.1391)","(695, 58)","[17  5 19 20 23 21 26 26 24 26 23 23 21 22 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 26 20 33 30 34 34 37 36 42 40
 44 44 43 44 40 42 36 38 31 34 26 29 21 21 18 19 16 17 14 15 12 13 11 12
 11 11 10 10 10 10  9  9]"
9,"(30.0, 6.0)","(341, 68)","[17 10 19 20 23 21 26 25 23 25 23 23 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 14 14 12 11 13 12 14 15 20 15 29 25 36 33 42 40 43 43 44 44 48 46
 49 49 48 49 44 46 37 41 31 34 24 25 22 23 20 21 17 18 15 16 13 14 12 13
 11 12 10 11  9 10  9  9]"
10,"(1.12, 5.1391)","(12, 58)","[17 13 19 20 22 21 25 25 23 25 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 14 11 19 17 22 20 32 25 42 37 48 46 49 49 49 49 47 48 47 47
 48 47 47 48 43 45 36 39 31 33 25 26 23 24 20 21 17 18 15 16 14 15 13 14
 12 13 11 12 10 10  9  9]"
11,"(-30.0, 6.0)","(3754, 68)","[23 25 22 23 21 22 21 22 20 19 24 22 23 24 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 15 11 19 17 20 20 31 23 43 37 52 48 57 55 58 58 56 57 53 55
 51 52 48 50 41 44 35 38 31 33 26 27 22 24 18 20 15 16 12 13 10 11  9 10
  8  9  8  8  9  9  9  9]"
