Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-03 13:14:37.605266,"(0, 0)","(1190, 2847)","[16  7 17 18 15 16 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 19 17 21 20 20 20 24 19 38 30 48 43 50 49 47 49 43 45 43 43 43 43
 41 43 37 40 35 36 35 35 35 35 37 36 36 36 34 35 31 33 26 27 23 24 20 22
 17 19 17 17 16 17 16 16]"
2024-09-03 13:15:02.309949,"(90, 3.0)","(1994, 5601)","[16 10 17 18 16 16 19 17 21 21 22 22 21 22 18 19 16 17 16 16 16 16 15 16
 14 15 12 13 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 16 11 22 18 27 26 34 30 44 41
 46 46 45 46 43 44 40 42 34 37 29 31 22 26 19 21 16 18 13 15 10 12  9 10
  8  9  8  8 23 18 28 26]"
2024-09-03 13:15:23.249307,"(30.0, 3.0)","(1440, 2815)","[16 10 18 18 17 17 17 17 20 19 22 22 24 23 23 23 20 22 18 19 15 17 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 23 20 25 24 26 26 24 26 23 23 23 22 33 27 41 38 42 42 42 42 47 44
 52 51 52 52 49 51 43 47 36 38 32 34 27 27 26 26 23 25 20 22 18 19 16 17
 14 15 14 14 14 14 14 14]"
2024-09-03 13:15:43.692971,"(-30.0, 3.0)","(844, 2816)","[16 13 18 18 17 17 17 17 20 19 23 22 26 24 25 25 24 24 22 23 19 20 17 18
 15 16 15 15 14 14 13 14 11 12 10 11 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 26 21 31 29 31 31 30 31 37 31 46 42 50 49 50 51 49 50 49 49 48 48
 49 48 50 50 48 49 44 47 39 41 36 37 30 35 30 30 28 29 25 27 22 24 19 20
 16 17 15 15 14 14 13 13]"
2024-09-03 13:16:04.136283,"(-90, 3.0)","(15, 2816)","[16  8 17 18 16 17 17 16 20 19 22 22 22 22 22 22 22 22 21 22 20 21 18 19
 18 18 17 17 16 17 13 15 11 12 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 18  9 24 21 24 24 21 22 14 19 13 14 12 13 15 11 27 17 40 35 43 42 41 42
 39 40 38 39 36 37 34 35 30 32 24 27 20 21 18 19 16 17 15 16 12 14 10 11
  9 10  9  9  9  9  9  9]"
2024-09-03 13:16:33.088643,"(30.0, -8.0)","(1439, 2932)","[16  5 17 18 15 17 16 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 16 11
 17 17 16 17 21 19 21 21 25 21 33 29 42 38 45 44 44 45 43 44 41 42 41 40
 44 42 46 45 44 45 40 43 35 38 29 32 25 26 23 24 21 22 20 21 20 20 19 19
 18 19 17 18 15 16 14 14]"
2024-09-03 13:16:53.526994,"(-30.0, -8.0)","(843, 2933)","[16 14 18 18 15 17 16 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 18 13 23 21
 22 23 20 21 19 19 24 22 27 26 30 29 29 29 27 28 24 25 22 23 21 21 27 23
 32 31 32 32 29 30 25 27 19 23 18 18 16 17 14 15 12 13 11 12 11 11 11 11
 11 11 10 10 10 10 10 10]"
2024-09-03 13:17:22.474322,"(90, 6.0)","(1994, 5601)","[20 10 24 25 23 23 26 26 25 26 25 25 24 25 22 23 20 21 16 18 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 13 21 19 24 23 24 24 23 24 22 23 24 22 32 29 33 34 45 39 47 47
 45 47 43 44 41 42 38 40 32 35 28 30 23 23 20 22 18 19 17 17 15 16 13 14
 11 12 10 10 10 10 10 10]"
2024-09-03 13:17:39.169924,"(61.12, 5.1391)","(1708, 2789)","[16  7 18 18 21 19 26 25 24 25 23 24 22 23 20 21 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 11 24 19 27 26 26 27 27 26 26 26 25 23 37 31 46 42 50 49 48 50
 44 44 43 44 41 42 37 39 31 34 24 25 22 24 20 21 17 18 15 16 13 14 12 12
 12 12 12 12 12 12 12 12]"
2024-09-03 13:17:56.567127,"(30.0, 6.0)","(1441, 2784)","[22 21 23 23 23 22 25 24 24 25 24 24 22 24 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 27 21 34 31 37 36 37 37 35 36 33 34 37 34 47 43 52 50 53 53 52 53
 51 52 50 51 46 48 41 43 34 37 28 29 25 26 23 24 21 22 19 20 18 19 16 17
 14 15 12 13 10 11  9 10]"
