Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-06 20:11:22.108390,"(0, 0)","(1169, 2807)","[16 10 19 20 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 19 16 20 20 21 19 29 24 31 31 44 37 47 46 45 46 40 43 38 39 40 39
 41 42 39 41 34 36 32 33 32 31 34 33 34 34 31 33 25 29 24 24 21 22 18 19
 17 17 17 17 16 16 14 14]"
2024-09-06 20:11:46.846778,"(90, 3.0)","(1994, 2783)","[16 13 19 19 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 12 11
 18 15 22 21 21 22 20 20 19 19 18 19 17 18 17 17 22 19 29 25 46 37 53 51
 52 53 49 51 44 47 37 41 31 34 27 29 22 22 19 20 16 18 14 15 12 13 11 12
 10 10  9  9 18 14 24 22]"
2024-09-06 20:12:07.308566,"(30.0, 3.0)","(1442, 2783)","[16 10 19 19 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 17 17 12 17 17 12 26 21 31 29 31 31 34 32 37 37 36 37 43 39 47 46
 44 46 41 43 38 40 32 34 31 31 29 30 23 28 23 23 21 22 20 20 20 20 20 20
 19 20 17 18 15 16 15 15]"
2024-09-06 20:12:27.763633,"(-30.0, 3.0)","(815, 2782)","[16  9 19 19 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 12 11
 17 16 19 18 28 23 29 29 31 29 43 36 48 46 48 48 47 47 45 46 42 44 39 40
 37 38 34 36 32 33 31 31 28 30 24 24 24 24 22 23 21 22 19 20 18 19 17 18
 15 16 14 14 13 14 12 13]"
2024-09-06 20:12:48.225484,"(-90, 3.0)","(10, 2783)","[16  9 19 19 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 12 11 23 15 38 31 44 42 44 44
 40 43 36 37 33 35 29 31 25 27 21 23 17 17 15 16 13 14 12 13 11 12 11 11
 10 10  9 10  9  9  9  9]"
2024-09-06 20:13:18.018232,"(30.0, -8.0)","(1441, 2897)","[16  8 19 19 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 13 11 17 16
 17 17 28 20 34 32 34 34 31 33 29 30 42 35 48 46 47 48 46 47 46 46 44 45
 42 43 42 42 40 41 35 38 31 32 27 27 27 27 25 26 23 24 21 22 18 20 18 18
 17 17 15 16 13 14 12 13]"
2024-09-06 20:13:38.474984,"(-30.0, -8.0)","(814, 2897)","[16  9 19 19 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 18 16 22 20 23 23 22 23 20 21 18 19 17 17 16 16 15 11 20 17
 29 23 36 34 36 37 33 35 27 29 22 24 16 17 15 16 13 14 11 12 10 11  9  9
  8  8  9  8  9  9  9  9]"
2024-09-06 20:14:07.254115,"(90, 6.0)","(1994, 2747)","[16  6 19 19 20 19 24 22 24 24 23 23 21 22 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 17 11
 29 23 34 33 34 34 30 32 25 27 22 23 21 21 20 20 20 20 30 23 38 34 41 40
 41 41 39 40 35 37 30 32 26 28 21 21 19 20 17 18 15 16 13 14 11 12 10 11
 10 10  9  9  9  9  9  9]"
2024-09-06 20:14:23.446566,"(61.12, 5.1391)","(1718, 5601)","[16 12 19 19 16 17 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 31 25 37 35 36 37 33 35 28 31 24 25 22 23 21 21 24 21 30 27 33 31 38 36
 42 41 42 43 39 41 34 36 31 33 27 29 21 22 18 20 16 17 14 15 12 13 10 11
  9  9  9  9  9  9  9  9]"
2024-09-06 20:14:40.349195,"(30.0, 6.0)","(1442, 2747)","[16  9 19 19 17 17 22 20 23 23 23 23 22 22 20 20 18 19 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 14 10 14 14 13 14 15 11 22 17
 32 28 35 35 33 35 28 31 24 25 21 22 21 20 34 28 42 39 46 45 48 47 49 49
 49 50 48 49 45 47 39 41 34 37 30 32 26 27 25 25 23 24 21 22 18 20 16 17
 13 14 12 12 12 12 11 11]"
