Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-09 20:45:21.743183,"(0, 0)","(1743, 2893)","[23 17 26 27 21 23 21 22 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 14 12 16 16 19 16 31 24 42 37 48 46 48 48 46 47 44 45 43 43 42 42
 39 41 35 37 33 33 32 33 32 32 35 33 34 35 30 32 25 28 23 24 22 23 21 22
 19 20 17 18 15 16 14 15]"
2024-09-09 20:45:46.472877,"(90, 3.0)","(2838, 2860)","[23  8 26 27 21 23 21 22 20 19 22 22 21 22 19 20 18 19 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 11 11 11 11 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 13 11
 18 15 21 20 20 21 19 19 14 18 13 14 12 13 11 11 21 11 32 27 34 33 40 38
 41 41 41 41 42 42 40 41 37 38 32 35 27 30 21 25 19 20 16 18 14 15 12 13
 10 11  9 10 22 16 27 25]"
2024-09-09 20:46:06.946998,"(30.0, 3.0)","(2006, 2859)","[23  7 26 26 21 23 20 21 20 19 22 22 22 22 20 21 18 20 16 16 14 15 13 14
 13 13 12 12 11 12 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 12 23 20 24 24 24 24 22 23 27 24 34 31 36 36 36 36 36 36 37 37
 36 37 33 34 31 32 28 29 28 27 27 28 21 27 21 21 21 21 21 21 21 21 21 21
 20 21 18 19 17 17 15 16]"
2024-09-09 20:46:27.348339,"(-30.0, 3.0)","(1504, 2859)","[23 12 25 26 21 23 21 22 21 20 22 22 24 23 24 24 23 23 21 22 20 20 18 19
 18 18 17 17 15 16 14 15 14 14 13 13 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10 10 11 11 11 11
 17 10 21 19 23 22 26 23 39 30 51 46 54 53 52 53 51 51 50 51 49 50 48 49
 44 47 40 42 38 39 37 38 36 37 34 35 29 29 28 29 27 27 25 26 24 25 23 24
 22 23 21 22 20 20 18 19]"
2024-09-09 20:46:49.284781,"(-90, 3.0)","(927, 2859)","[22  8 25 26 21 23 20 21 20 19 22 22 23 23 23 23 22 23 20 21 19 19 17 18
 16 16 15 16 14 15 13 14 12 12 11 11 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 15 10 20 16 27 24 29 28
 30 30 28 29 27 28 25 27 23 24 20 21 15 15 14 14 13 13 12 12 11 12 10 11
  9 10  9  9  9  9  9  9]"
2024-09-09 20:47:18.210556,"(30.0, -8.0)","(2006, 2973)","[22 13 25 26 21 23 20 21 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 19 18 18 19 19 18 26 22 34 29 41 37 43 42 42 43 42 42 40 41 38 39
 38 38 39 38 38 39 35 37 29 32 24 24 24 24 24 24 29 24 29 30 24 24 23 24
 20 22 17 18 14 15 12 12]"
2024-09-09 20:47:38.653698,"(-30.0, -8.0)","(1504, 2973)","[22  9 25 26 21 23 20 21 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 19 13 28 24 32 31
 35 33 37 36 37 37 39 37 44 43 44 44 42 43 41 41 39 40 37 38 36 37 38 37
 38 38 38 38 37 38 35 36 33 34 30 32 26 27 23 24 21 22 20 20 20 20 19 20
 18 19 16 17 13 14 11 12]"
2024-09-09 20:48:07.595331,"(90, 6.0)","(2837, 2823)","[22 11 25 26 22 23 24 24 24 23 26 24 24 26 20 21 18 18 18 18 15 16 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 12 11
 19 15 22 21 22 22 20 21 14 19 13 14 16 13 20 18 29 21 42 36 47 45 46 46
 44 45 40 42 36 38 32 34 28 30 25 27 21 22 18 20 16 17 13 14 13 13 12 13
 11 12 11 11 10 11  9 10]"
2024-09-09 20:48:23.753997,"(61.12, 5.1391)","(2413, 2830)","[22 10 25 26 24 24 27 26 25 26 25 25 23 24 21 22 20 20 19 20 17 18 14 15
 12 13 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 15 15 15 15 12 15 13 12 14 15 13 14 12 13 15 11 26 17 37 33 39 39 37 38
 35 36 33 34 31 32 28 30 25 27 23 24 19 19 18 18 16 17 14 15 13 14 12 13
 12 12 11 11 11 11 11 11]"
2024-09-09 20:48:40.151587,"(30.0, 6.0)","(2006, 2825)","[22 12 25 26 23 24 24 24 22 23 24 23 24 24 21 22 19 20 18 19 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 27 20 33 30 38 35 43 40 53 48 53 53
 49 52 44 46 38 41 33 35 29 30 28 29 23 23 22 23 20 21 18 19 17 18 16 17
 14 15 12 13 12 12 12 12]"
