Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-10 21:42:50.358864,"(0, 0)","(1724, 2872)","[19  9 20 21 16 18 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 19 12 26 22 36 30 44 40 44 44 41 43 39 40 41 40 43 42
 40 42 35 37 34 35 34 34 32 34 33 32 33 33 31 32 25 30 24 24 22 23 21 22
 19 20 18 19 16 17 14 15]"
2024-09-10 21:43:15.099062,"(90, 3.0)","(2829, 2840)","[19  6 20 20 17 18 18 17 21 19 22 22 22 22 20 21 19 20 17 18 16 17 16 16
 15 15 14 14 13 14 13 13 12 13 11 12 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 13  9 15 15 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 23 10 38 32 44 42 42 44
 38 39 36 37 33 34 31 32 29 30 26 27 20 25 19 20 16 18 14 15 11 12 10 11
  9 10  9  9 15 13 19 18]"
2024-09-10 21:43:35.571596,"(30.0, 3.0)","(2013, 2839)","[19 11 20 20 18 18 21 20 21 20 22 22 21 22 17 19 16 17 16 16 16 16 16 16
 16 16 15 16 14 15 12 13 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 14 12 18 16 18 18 14 17 13 14 23 19 33 29 36 36 34 35 34 34 33 34
 32 33 31 32 29 30 30 29 31 31 30 31 28 29 20 26 19 20 17 18 15 16 13 14
 12 13 11 12 10 10  9  9]"
2024-09-10 21:43:56.054607,"(-30.0, 3.0)","(1504, 2840)","[19 15 20 20 21 20 25 24 24 25 23 23 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 23 17 27 25 32 28 42 37 45 44 48 45 56 55 56 57 53 55 48 50
 43 45 41 42 40 40 37 39 33 35 28 28 27 27 24 25 22 23 20 21 18 19 17 17
 16 16 14 15 13 14 12 13]"
2024-09-10 21:44:17.027326,"(-90, 3.0)","(911, 2839)","[19  9 20 20 20 19 23 22 22 23 22 22 21 22 18 19 18 18 17 18 16 17 16 16
 15 16 15 15 14 14 12 13 10 12 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 20 16 29 25 36 33 38 37 36 37
 33 34 32 33 29 30 24 27 17 22 17 17 15 16 14 15 13 13 12 12 11 11  9 10
  8  9  8  8  9  9  9  9]"
2024-09-10 21:44:45.822691,"(30.0, -8.0)","(2013, 2957)","[19 11 19 20 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 20 17 22 22 20 21 19 19 21 18 31 25 38 35 39 39 39 39 41 39 40 41 37 38
 35 35 37 36 37 37 35 36 32 34 28 30 23 23 21 22 26 21 27 28 22 27 21 22
 19 20 17 18 14 15 12 13]"
2024-09-10 21:45:06.293619,"(-30.0, -8.0)","(1503, 2956)","[19  6 19 20 16 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 23 16 30 27
 32 31 34 33 32 33 37 34 45 42 47 47 45 46 41 43 37 39 34 35 32 33 34 31
 39 38 39 40 36 38 33 35 30 32 25 25 23 24 21 22 19 20 17 18 17 17 17 17
 16 16 14 15 13 13 15 12]"
2024-09-10 21:45:35.094898,"(90, 6.0)","(2828, 2812)","[19 11 20 20 18 18 20 20 21 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 17 11 26 19 37 32 42 40 44 43
 44 44 41 43 37 39 32 35 27 29 22 24 17 18 14 15 11 12 11 11 10 10  9  9
  8  8  8  8  9  9  9  9]"
2024-09-10 21:45:51.799118,"(61.12, 5.1391)","(2413, 2818)","[19  8 20 20 22 20 24 24 23 24 22 22 21 22 18 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 16 16 23 16 33 29 36 35 35 35
 35 34 34 35 32 33 28 30 23 26 17 17 16 16 14 15 12 13 11 11 10 10  8  9
  8  8  8  8  9  9  9  9]"
2024-09-10 21:46:08.203201,"(30.0, 6.0)","(2013, 2809)","[19  9 20 20 19 19 20 20 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 22 17 29 27 30 28 30 31 46 38 49 48
 47 48 43 45 39 41 33 36 28 30 26 27 21 21 19 20 17 18 15 16 13 14 12 13
 11 11 10 10 10 10 10 10]"
