Measure Time,Commanded trajectory,Real trajectory,Curve,az LS,2893,el LS,2396
2024-09-11 18:49:22.344373,"(0, 0)","(1729, 2879)","[19  8 18 19 25 21 24 27 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 19 12 28 24 39 34 45 42 45 46 43 45 40 41 39 39 40 40
 37 39 33 35 30 31 29 30 30 29 33 31 32 33 30 31 23 28 22 23 21 22 20 21
 19 20 17 18 15 16 13 14]",,,,
2024-09-11 18:49:47.068276,"(90, 3.0)","(2834, 2847)","[19  9 18 19 25 21 24 26 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 13 11 23 16 35 29 37 37 35 35
 38 38 38 38 38 38 36 37 31 34 27 29 19 25 18 18 16 17 14 15 12 13 10 11
  9  9  9  9 19 14 25 23]",,,,
2024-09-11 18:50:07.527729,"(30.0, 3.0)","(2012, 2847)","[19  4 18 19 25 21 24 26 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 14 11 19 17 20 20 19 20 13 14 24 20 32 29 35 35 33 34 34 33 37 36
 36 37 33 35 30 31 29 29 29 29 29 29 27 28 21 26 20 21 19 20 17 18 15 16
 12 13 11 11  9 10  9  9]",,,,
2024-09-11 18:50:27.997402,"(-30.0, 3.0)","(1505, 2847)","[18  5 17 19 25 21 24 26 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 21 15 27 24 29 28 37 30 48 43 51 50 50 49 53 51 53 53 50 52 47 48
 44 45 41 42 40 41 37 39 33 34 28 28 26 27 24 25 22 24 20 21 18 19 17 18
 17 17 16 16 14 15 13 14]",,,,
2024-09-11 18:50:48.466116,"(-90, 3.0)","(918, 2846)","[18 12 17 19 25 21 23 26 20 19 22 22 21 22 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 18 16 17 18 24 17 33 29 35 34 34 35
 31 32 29 30 27 28 26 27 25 26 23 24 17 22 17 17 16 16 14 15 12 13 11 11
 10 11  9 10  9  9  9  9]",,,,
2024-09-11 18:51:17.256218,"(30.0, -8.0)","(2012, 2962)","[18  9 18 19 25 21 23 26 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 17  9 19 19 18 18 13 17 21 15 31 26 39 36 42 41 42 42 43 42 42 43 39 41
 38 38 38 38 37 37 35 36 32 33 27 30 22 23 21 21 26 21 28 28 27 28 21 25
 19 20 16 18 14 15 12 13]",,,,
2024-09-11 18:51:37.724530,"(-30.0, -8.0)","(1504, 2963)","[18  9 18 19 24 21 23 25 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 18 13 28 23 32 30
 33 32 34 34 33 33 38 34 45 42 46 46 43 45 39 41 37 37 35 36 34 35 35 34
 38 37 38 39 35 37 32 34 30 31 24 25 22 23 20 21 18 19 17 18 17 17 17 17
 17 17 16 17 15 16 14 14]",,,,
2024-09-11 18:52:06.491919,"(90, 6.0)","(2834, 2814)","[18  7 18 19 24 21 24 25 21 20 23 22 22 23 19 21 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 15 11 26 18 37 32 42 40 43 42
 43 43 40 42 36 38 31 34 25 28 18 19 17 18 15 16 13 14 11 12  9 10  8  9
  7  7  8  7  9  9  9  9]",,,,
2024-09-11 18:52:22.694559,"(61.12, 5.1391)","(2414, 2821)","[18  5 18 19 24 21 25 25 23 24 23 23 23 23 20 22 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 17 11 24 19 30 28 35 33 37 37
 37 37 36 37 32 34 28 30 25 27 21 23 17 18 16 17 14 15 12 13 10 11  9 10
  9  9  9  9  9  9  9  9]",,,,
2024-09-11 18:52:39.596066,"(30.0, 6.0)","(2012, 2815)","[18  7 18 19 24 21 24 25 21 20 22 22 22 22 19 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 23 19 30 28 30 31 34 31 46 40 48 48
 46 47 42 44 37 39 33 35 31 32 29 30 22 28 21 22 19 20 17 18 15 16 12 13
 10 11  9  9  9  9  9  9]",,,,
